title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
The Record,2000,"['Thriller', 'Back to top', 'Horror']",4.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0301770/
The Promise,2005,"['Wuxia', 'Back to top', 'Drama', 'Fantasy', 'Action']",5.6,"$669,625","$30,995,924","HK$60,000,000 (estimated)","$272,838",https://www.imdb.com/title/tt0417976/
R-Point,2004,"['War', 'Action', 'Back to top', 'Horror']",6.2,N/A,"$6,744,984",N/A,N/A,https://www.imdb.com/title/tt0417072/
Chow Yun-Fat Boy Meets Brownie Girl,2002,"['Fantasy', 'Back to top']",4.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0334726/
2009: Lost Memories,2009,"['Thriller', 'Drama', 'Back to top', 'Sci-Fi', 'Action']",6.1,N/A,"$12,049,825","$7,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0294252/
Desire,2002,"['Back to top', 'Drama']",4.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0334753/
YMCA Yagudan,2002,"['Back to top', 'Drama']",6.3,N/A,"$8,271,113",N/A,N/A,https://www.imdb.com/title/tt0331088/
Wishing Stairs,2003,"['Back to top', 'Drama', 'Horror']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0370082/
Totò Sapore: The Pizza Story,2003,"['Romance', 'Adventure', 'Comedy', 'Back to top', 'Fantasy', 'Animation', 'Family', 'Musical']",6.1,N/A,"$541,824",N/A,N/A,https://www.imdb.com/title/tt0399778/
Joint Security Area,2000,"['Thriller', 'Back to top', 'Drama', 'War', 'Action']",7.7,N/A,"$124,861",N/A,N/A,https://www.imdb.com/title/tt0260991/
The Guy Was Cool,2004,"['Romance', 'Back to top', 'Comedy']",6.1,N/A,N/A,"$2,500,000 (estimated)",N/A,https://www.imdb.com/title/tt0415819/
Show Show Show,2003,"['Back to top', 'Drama', 'Comedy']",4.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0350121/
Heaven's Soldiers,2005,"['Back to top', 'Action', 'Sci-Fi', 'Comedy']",5.9,N/A,"$6,407,161",N/A,N/A,https://www.imdb.com/title/tt0470711/
Real Fiction,2000,"['Back to top', 'Drama', 'Crime']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0269857/
Afrika,2002,"['Back to top', 'Action', 'Drama']",5.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0306442/
Singles,2003,"['Romance', 'Back to top', 'Comedy']",6.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0371226/
Oseam,2003,"['Back to top', 'Animation', 'Family']",6.9,N/A,"$6,658",N/A,N/A,https://www.imdb.com/title/tt0359784/
A Moment to Remember,2004,"['Back to top', 'Drama', 'Romance']",8.1,N/A,"$20,865,847",N/A,N/A,https://www.imdb.com/title/tt0428870/
Lovely Rivals,2004,"['Back to top', 'Drama', 'Comedy']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0430780/
The Coast Guard,2002,"['Back to top', 'Drama', 'War']",6.4,N/A,"$2,442,863",N/A,N/A,https://www.imdb.com/title/tt0341384/
The Foul King,2000,"['Sport', 'Back to top', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0261552/
Norang meori 2,2001,"['Back to top', 'Drama']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0293885/
A Smile,2003,"['Back to top', 'Drama']",5.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0379381/
Indian Summer,2001,"['Back to top', 'Drama', 'Crime']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0293280/
Scary Hair,2005,"['Back to top', 'Drama', 'Horror']",5.4,N/A,"$2,146,621",N/A,N/A,https://www.imdb.com/title/tt0475590/
